Date,Phase,Area,Change,Type,Edition,Status
2026-06-11,Tracking,change-log.csv / .xlsx,Created this spreadsheet change-log,Create,—,Done
2026-06-11,Deep clean,EN manuscript,"Final British idiom pass — 'shop guides', 'pressurised'; comprehensive grep confirms no US spelling/idiom left",Fix,EN,Done
2026-06-11,Illustrations,Figures + build scripts,"Removed the line-art diagrams; replaced with NUMBERED figure placeholders (Figure 1-4) + descriptions; builders auto-swap a real fig-0N image when supplied; added figures.csv manifest + figures/ folder",Rewrite,EN,Done
2026-06-11,Launch prep,cover-brief.md + launch-kit.md,"Designer cover brief + 3 concept directions; beta-reader & review kit + launch checklist. Strategic shift: manuscript frozen, focus moves to cover/reviews/launch",Add,EN,Done
2026-06-11,Design,Boxes + build scripts,"Colour-coding & compartment-layout pass (JDS-PRO-007): 5 recurring boxes each given a fixed colour + greyscale-safe icon (Safety ▲, Weekend Project ▶, Workshop Rule ●, Specs ◆, Inherited & Hard ◇); legend card added to front matter; documented in style guide §6",Add,EN,Done
2026-06-11,Design,build-epub.py + build-print-pdf.py,"Root-fixed two box parsing bugs (adjacent boxes merged; a box after a box lost its colour) by rendering each box to a classed div before markdown; ensured top-level lists parse without breaking wrapped Specs sub-bullets",Fix,EN,Done
2026-06-11,Readability,build-epub.py + build-print-pdf.py,"Body text switched from justified to left-aligned per JDS-PRO-007 §5.2; interior 123 -> 125 pp; print cover spine recomputed 0.277 -> 0.2815 in",Fix,EN,Done
2026-06-11,Design,Chapter cards + build scripts,"Added chapter-opener dashboard ([[CARD step|time|task|need]] token, like [[FIGURE]]): a rounded 2x2 bento under the H1 showing where the chapter sits, time, the one task, and what to gather. Prototyped on chapter 1",Add,EN,Done
2026-06-11,Design,Fonts + build scripts,"Rounded maru-gothic display font (M PLUS Rounded 1c, OFL — free HG Maru Gothic equivalent) applied to all headings + bento labels/cards/legend. New build-fonts.py subsets 3 weights to Latin+icons (~60 KB each) so the EPUB stays small (287 KB, no KDP delivery fee); embedded in EPUB and via weasyprint FontConfiguration in print",Add,EN,Done
2026-06-11,Design,Stylesheets,"Rounded the bentos: boxes (radius 9-10px), chapter card and legend get a rounded clipping wrapper; legend gains a navy header bar. Fixed weasyprint @font-face by passing a FontConfiguration to CSS() and write_pdf()",Fix,EN,Done
2026-06-11,Design,All 15 chapters,"Rolled the chapter-opener dashboard card out to every chapter (was prototype on ch1); non-programme chapters use a role label (The method / Special case / The payoff). Interior 125 -> 127 pp; spine 0.2815 -> 0.2860 in",Add,EN,Done
2026-06-11,Design,Boxes + build scripts,"Redesigned the bentos as bold ""candy-panel"" cards (Japanese-packaging influence per author refs): solid saturated header bar with white icon + label on a white card with chunky rounded border, replacing the muted left-border/tinted-quote look. Renderer now splits each box into a coloured header + body. Verified greyscale-safe (white-on-colour header still reads in B&W)",Rewrite,EN,Done
2026-06-11,Design,Box bodies,"Made each bento a true divided bento: body is now a coloured ""tray"" tinted to match the header, with every paragraph / list item rendered as its own white compartment and the tray colour showing between them as dividers. Interior 127 -> 131 pp; spine 0.2860 -> 0.2950 in",Rewrite,EN,Done
